name,real_name,furigana,party,constituency_broad,constituency_narrow,win_count_lower_house,win_count_upper_house,house,portrait_image,
逢沢 一郎,,あいさわ いちろう,自民,岡山,1,10,,衆議院,009.jpg,
青柳 陽一郎,,あおやぎ よういちろう,維新,比例,南関東,2,,衆議院,010.jpg,
青山 周平,,あおやま しゅうへい,自民,比例,東海,2,,衆議院,011.jpg,
赤枝 恒雄,,あかえだ つねお,自民,比例,東京都,2,,衆議院,012.jpg,
赤澤 亮正,,あかざわ りょうせい,自民,鳥取,2,4,,衆議院,013.jpg,
赤羽 一嘉,,あかば かずよし,公明,兵庫,2,7,,衆議院,014.jpg,
あかま 二郎,,あかま じろう,自民,神奈川,14,3,,衆議院,003.jpg,
赤松 広隆,,あかまつ ひろたか,民主,愛知,5,9,,衆議院,015.jpg,
赤嶺 政賢,,あかみね せいけん,共産,沖縄,1,6,,衆議院,016.jpg,
秋葉 賢也,,あきば けんや,自民,宮城,2,5,,衆議院,017.jpg,
秋元 司,,あきもと つかさ,自民,比例,東京都,2,1,衆議院,018.jpg,
秋本 真利,,あきもと まさとし,自民,千葉,9,2,,衆議院,019.jpg,
浅尾 慶一郎,,あさお けいいちろう,無,神奈川,4,3,2,衆議院,020.jpg,
安住 淳,,あずみ じゅん,民主,宮城,5,7,,衆議院,005.jpg,
麻生 太郎,,あそう たろう,自民,福岡,8,12,,衆議院,021.jpg,
足立 康史,,あだち やすし,維新,比例,近畿,2,,衆議院,007.jpg,
穴見 陽一,,あなみ よういち,自民,比例,九州,2,,衆議院,022.jpg,
安倍 晋三,,あべ しんぞう,自民,山口,4,8,,衆議院,006.jpg,
あべ 俊子,,あべ としこ,自民,比例,中国,4,,衆議院,004.jpg,
阿部 知子,,あべ ともこ,民主,比例,南関東,6,,衆議院,008.jpg,
甘利 明,,あまり あきら,自民,神奈川,13,11,,衆議院,023.jpg,
荒井 聰,,あらい さとし,民主,比例,北海道,7,,衆議院,024.jpg,
安藤 裕,,あんどう ひろし,自民,比例,近畿,2,,衆議院,025.jpg,
池内 さおり,,いけうち さおり,共産,比例,東京都,1,,衆議院,042.jpg,
池田 道孝,,いけだ みちたか,自民,比例,中国,2,,衆議院,043.jpg,
池田 佳隆,,いけだ よしたか,自民,比例,東海,2,,衆議院,044.jpg,
伊佐 進一,,いさ しんいち,公明,大阪,6,2,,衆議院,034.jpg,
井坂 信彦,,いさか のぶひこ,維新,兵庫,1,2,,衆議院,026.jpg,
石井 啓一,,いしい けいいち,公明,比例,北関東,8,,衆議院,045.jpg,
石川 昭政,,いしかわ あきまさ,自民,比例,北関東,2,,衆議院,046.jpg,
石崎 徹,,いしざき とおる,自民,新潟,1,2,,衆議院,047.jpg,
石関 貴史,,いしぜき たかし,維新,比例,北関東,4,,衆議院,048.jpg,
石田 祝稔,,いしだ のりとし,公明,比例,四国,7,,衆議院,049.jpg,
石田 真敏,,いしだ まさとし,自民,和歌山,2,6,,衆議院,050.jpg,
石破 茂,,いしば しげる,自民,鳥取,1,10,,衆議院,051.jpg,
石原 伸晃,,いしはら のぶてる,自民,東京,8,9,,衆議院,052.jpg,
石原 宏高,,いしはら ひろたか,自民,東京,3,3,,衆議院,053.jpg,
泉 健太,,いずみ けんた,民主,比例,近畿,5,,衆議院,054.jpg,
井出 庸生,,いで ようせい,維新,長野,3,2,,衆議院,027.jpg,
伊藤 信太郎,,いとう しんたろう,自民,宮城,4,5,,衆議院,037.jpg,
伊藤 忠彦,,いとう ただひこ,自民,愛知,8,3,,衆議院,038.jpg,
伊藤 達也,,いとう たつや,自民,東京,22,7,,衆議院,039.jpg,
伊東 信久,,いとう のぶひさ,維新,比例,近畿,2,,衆議院,035.jpg,
伊東 良孝,,いとう よしたか,自民,北海道,7,3,,衆議院,036.jpg,
伊藤 渉,,いとう わたる,公明,比例,東海,3,,衆議院,040.jpg,
稲田 朋美,,いなだ ともみ,自民,福井,1,4,,衆議院,055.jpg,
稲津 久,,いなつ ひさし,公明,北海道,10,3,,衆議院,056.jpg,
井野 俊郎,,いの としろう,自民,群馬,2,2,,衆議院,028.jpg,
井上 信治,,いのうえ しんじ,自民,東京,25,5,,衆議院,029.jpg,
井上 貴博,,いのうえ たかひろ,自民,福岡,1,2,,衆議院,030.jpg,
井上 英孝,,いのうえ ひでたか,維新,大阪,1,2,,衆議院,031.jpg,
井上 義久,,いのうえ よしひさ,公明,比例,東北,8,,衆議院,032.jpg,
井林 辰憲,,いばやし たつのり,自民,静岡,2,2,,衆議院,033.jpg,
伊吹 文明,,いぶき ぶんめい,自民,京都,1,11,,衆議院,041.jpg,
今井 雅人,,いまい まさと,維新,比例,東海,3,,衆議院,057.jpg,
今枝 宗一郎,,いまえだ そういちろう,自民,愛知,14,2,,衆議院,058.jpg,
今津 寛,,いまず ひろし,自民,比例,北海道,7,,衆議院,059.jpg,
今村 雅弘,,いまむら まさひろ,自民,比例,九州,7,,衆議院,060.jpg,
岩田 和親,,いわた かずちか,自民,比例,九州,2,,衆議院,061.jpg,
岩屋 毅,,いわや たけし,自民,大分,3,7,,衆議院,062.jpg,
上田 勇,,うえだ いさむ,公明,神奈川,6,7,,衆議院,064.jpg,
上西 小百合,,うえにし さゆり,無,比例,近畿,2,,衆議院,065.jpg,
うえの賢一郎,,うえの けんいちろう,自民,滋賀,2,3,,衆議院,063.jpg,
浮島 智子,,うきしま ともこ,公明,比例,近畿,2,1,衆議院,066.jpg,
梅村 さえこ,,うめむら さえこ,共産,比例,北関東,1,,衆議院,067.jpg,
浦野 靖人,,うらの やすと,維新,比例,近畿,2,,衆議院,068.jpg,
漆原 良夫,,うるしばら よしお,公明,比例,北陸信越,7,,衆議院,069.jpg,
江崎 鐵磨,,えさき てつま,自民,愛知,10,6,,衆議院,070.jpg,
江田 憲司,,えだ けんじ,維新,神奈川,8,5,,衆議院,071.jpg,
江田 康幸,,えだ やすゆき,公明,比例,九州,6,,衆議院,072.jpg,
枝野 幸男,,えだの ゆきお,民主,埼玉,5,8,,衆議院,076.jpg,
江渡 聡徳,,えと あきのり,自民,青森,2,6,,衆議院,073.jpg,
衛藤 征士郎,,えとう せいしろう,自民,大分,2,11,1,衆議院,075.jpg,
江藤 拓,,えとう たく,自民,宮崎,2,5,,衆議院,074.jpg,
遠藤 敬,,えんどう たかし,維新,大阪,18,2,,衆議院,077.jpg,
遠藤 利明,,えんどう としあき,自民,山形,1,7,,衆議院,078.jpg,
大岡 敏孝,,おおおか としたか,自民,滋賀,1,2,,衆議院,092.jpg,
大串 博志,,おおぐし ひろし,民主,比例,九州,4,,衆議院,093.jpg,
大串 正樹,,おおぐし まさき,自民,兵庫,6,2,,衆議院,094.jpg,
大口 善徳,,おおぐち よしのり,公明,比例,東海,7,,衆議院,095.jpg,
大隈 和英,,おおくま かずひで,自民,比例,近畿,1,,衆議院,096.jpg,
逢坂 誠二,,おおさか せいじ,民主,北海道,8,3,,衆議院,110.jpg,
大島 敦,,おおしま あつし,民主,埼玉,6,6,,衆議院,097.jpg,
大島 理森,,おおしま ただもり,無,青森,3,11,,衆議院,098.jpg,
太田 昭宏,,おおた あきひろ,公明,東京,12,7,,衆議院,108.jpg,
太田 和美,,おおた かずみ,維新,比例,南関東,3,,衆議院,109.jpg,
大塚 高司,,おおつか たかし,自民,大阪,8,3,,衆議院,099.jpg,
大塚 拓,,おおつか たく,自民,埼玉,9,3,,衆議院,100.jpg,
大西 健介,,おおにし けんすけ,民主,愛知,13,3,,衆議院,101.jpg,
大西 英男,,おおにし ひでお,自民,東京,16,2,,衆議院,102.jpg,
大西 宏幸,,おおにし ひろゆき,自民,比例,近畿,1,,衆議院,103.jpg,
大野 敬太郎,,おおの けいたろう,自民,香川,3,2,,衆議院,104.jpg,
大畠 章宏,,おおはた あきひろ,民主,茨城,5,9,,衆議院,105.jpg,
大平 喜信,,おおひら よしのぶ,共産,比例,中国,1,,衆議院,106.jpg,
大見 正,,おおみ せい,自民,比例,東海,2,,衆議院,107.jpg,
岡下 昌平,,おかした しょうへい,自民,比例,近畿,1,,衆議院,111.jpg,
岡田 克也,,おかだ かつや,民主,三重,3,9,,衆議院,112.jpg,
緒方 林太郎,,おがた りんたろう,民主,比例,九州,2,,衆議院,091.jpg,
岡本 三成,,おかもと みつなり,公明,比例,北関東,2,,衆議院,113.jpg,
岡本 充功,,おかもと みつのり,民主,比例,東海,4,,衆議院,114.jpg,
小川 淳也,,おがわ じゅんや,民主,比例,四国,4,,衆議院,079.jpg,
奥野 信亮,,おくの しんすけ,自民,奈良,3,4,,衆議院,115.jpg,
奥野 総一郎,,おくの そういちろう,民主,比例,南関東,3,,衆議院,116.jpg,
小熊 慎司,,おぐま しんじ,維新,福島,4,2,1,衆議院,080.jpg,
小倉 將信,,おぐら まさのぶ,自民,東京,23,2,,衆議院,081.jpg,
小此木 八郎,,おこのぎ はちろう,自民,神奈川,3,7,,衆議院,082.jpg,
小里 泰弘,,おざと やすひろ,自民,鹿児島,4,4,,衆議院,083.jpg,
小沢 一郎,,おざわ いちろう,生活,岩手,4,16,,衆議院,084.jpg,
小沢 鋭仁,,おざわ さきひと,維新,比例,近畿,8,,衆議院,085.jpg,
小田原 潔,,おだわら きよし,自民,東京,21,2,,衆議院,086.jpg,
越智 隆雄,,おち たかお,自民,東京,6,3,,衆議院,090.jpg,
落合 貴之,,おちあい たかゆき,維新,比例,東京都,1,,衆議院,117.jpg,
鬼木 誠,,おにき まこと,自民,福岡,2,2,,衆議院,118.jpg,
小野寺 五典,,おのでら いつのり,自民,宮城,6,6,,衆議院,087.jpg,
小渕 優子,,おぶち ゆうこ,自民,群馬,5,6,,衆議院,088.jpg,
尾身 朝子,,おみ あさこ,自民,比例,北関東,1,,衆議院,089.jpg,
柿沢 未途,,かきざわ みと,維新,東京,15,3,,衆議院,122.jpg,
笠井 亮,,かさい あきら,共産,比例,東京都,4,1,衆議院,123.jpg,
梶山 弘志,,かじやま ひろし,自民,茨城,4,6,,衆議院,124.jpg,
勝沼 栄明,,かつぬま しげあき,自民,比例,東北,2,,衆議院,125.jpg,
勝俣 孝明,,かつまた たかあき,自民,比例,東海,2,,衆議院,126.jpg,
門 博文,,かど ひろふみ,自民,比例,近畿,2,,衆議院,127.jpg,
加藤 鮎子,,かとう あゆこ,自民,山形,3,1,,衆議院,119.jpg,
加藤 勝信,,かとう かつのぶ,自民,岡山,5,5,,衆議院,120.jpg,
加藤 寛治,,かとう かんじ,自民,長崎,2,2,,衆議院,121.jpg,
門山 宏哲,,かどやま ひろあき,自民,比例,南関東,2,,衆議院,128.jpg,
金子 恵美,,かねこ えみ,民主,比例,東北,1,1,衆議院,129.jpg,
金子 一義,,かねこ かずよし,自民,岐阜,4,10,,衆議院,130.jpg,
金子 万寿夫,,かねこ ますお,自民,鹿児島,2,2,,衆議院,131.jpg,
金子 めぐみ,,かねこ めぐみ,自民,新潟,4,2,,衆議院,132.jpg,
金子 恭之,,かねこ やすし,自民,熊本,5,6,,衆議院,133.jpg,
金田 勝年,,かねだ かつとし,自民,秋田,2,3,2,衆議院,134.jpg,
上川 陽子,,かみかわ ようこ,自民,静岡,1,5,,衆議院,135.jpg,
神谷 昇,,かみたに のぼる,自民,比例,近畿,1,,衆議院,136.jpg,
神山 佐市,,かみやま さいち,自民,埼玉,7,2,,衆議院,137.jpg,
神山 洋介,,かみやま ようすけ,民主,比例,南関東,2,,衆議院,138.jpg,
亀井 静香,,かめい しずか,無,広島,6,13,,衆議院,139.jpg,
亀岡 偉民,,かめおか よしたみ,自民,福島,1,3,,衆議院,140.jpg,
鴨下 一郎,,かもした いちろう,自民,東京,13,8,,衆議院,141.jpg,
河井 克行,,かわい かつゆき,自民,広島,3,6,,衆議院,143.jpg,
川崎 二郎,,かわさき じろう,自民,三重,1,11,,衆議院,142.jpg,
河野 正美,,かわの まさみ,維新,比例,九州,2,,衆議院,144.jpg,
川端 達夫,,かわばた たつお,無,比例,近畿,10,,衆議院,002.jpg,
河村 建夫,,かわむら たけお,自民,山口,3,9,,衆議院,145.jpg,
菅 直人,,かん なおと,民主,比例,東京都,12,,衆議院,147.jpg,
菅家 一郎,,かんけ いちろう,自民,比例,東北,2,,衆議院,148.jpg,
神田 憲次,,かんだ けんじ,自民,比例,東海,2,,衆議院,146.jpg,
木内 孝胤,,きうち たかたね,維新,比例,東京都,2,,衆議院,149.jpg,
木内 均,,きうち ひとし,自民,比例,北陸信越,2,,衆議院,150.jpg,
城内 実,,きうち みのる,自民,静岡,7,4,,衆議院,157.jpg,
黄川田 徹,,きかわだ とおる,民主,岩手,3,6,,衆議院,158.jpg,
黄川田 仁志,,きかわだ ひとし,自民,埼玉,3,2,,衆議院,159.jpg,
菊田 真紀子,,きくた まきこ,民主,比例,北陸信越,5,,衆議院,160.jpg,
岸 信夫,,きし のぶお,自民,山口,2,2,2,衆議院,161.jpg,
岸田 文雄,,きしだ ふみお,自民,広島,1,8,,衆議院,162.jpg,
岸本 周平,,きしもと しゅうへい,民主,和歌山,1,3,,衆議院,163.jpg,
北側 一雄,,きたがわ かずお,公明,大阪,16,8,,衆議院,165.jpg,
北川 知克,,きたがわ ともかつ,自民,大阪,12,5,,衆議院,164.jpg,
北村 茂男,,きたむら しげお,自民,石川,3,4,,衆議院,166.jpg,
北村 誠吾,,きたむら せいご,自民,長崎,4,6,,衆議院,167.jpg,
木下 智彦,,きのした ともひこ,維新,比例,近畿,2,,衆議院,151.jpg,
木原 誠二,,きはら せいじ,自民,東京,20,3,,衆議院,152.jpg,
木原 稔,,きはら みのる,自民,熊本,1,3,,衆議院,153.jpg,
木村 太郎,,きむら たろう,自民,青森,4,7,,衆議院,154.jpg,
木村 弥生,,きむら やよい,自民,比例,北関東,1,,衆議院,155.jpg,
吉良 州司,,きら しゅうじ,民主,大分,1,4,,衆議院,156.jpg,
工藤 彰三,,くどう しょうぞう,自民,愛知,4,2,,衆議院,168.jpg,
國重 徹,,くにしげ とおる,公明,大阪,5,2,,衆議院,169.jpg,
熊田 裕通,,くまだ ひろみち,自民,愛知,1,2,,衆議院,170.jpg,
黒岩 宇洋,,くろいわ たかひろ,民主,新潟,3,2,1,衆議院,171.jpg,
玄葉 光一郎,,げんば こういちろう,民主,福島,3,8,,衆議院,172.jpg,
小池 百合子,,こいけ ゆりこ,自民,東京,10,8,1,衆議院,173.jpg,
小泉 進次郎,,こいずみ しんじろう,自民,神奈川,11,3,,衆議院,174.jpg,
小泉 龍司,,こいずみ りゅうじ,無,埼玉,11,5,,衆議院,175.jpg,
河野 太郎,,こうの たろう,自民,神奈川,15,7,,衆議院,186.jpg,
高村 正彦,,こうむら まさひこ,自民,山口,1,12,,衆議院,187.jpg,
郡 和子,,こおり かずこ,民主,比例,東北,4,,衆議院,188.jpg,
古賀 篤,,こが あつし,自民,福岡,3,2,,衆議院,182.jpg,
穀田 恵二,,こくた けいじ,共産,比例,近畿,8,,衆議院,190.jpg,
國場 幸之助,,こくば こうのすけ,自民,比例,九州,2,,衆議院,189.jpg,
小島 敏文,,こじま としふみ,自民,比例,中国,2,,衆議院,176.jpg,
輿水 恵一,,こしみず けいいち,公明,比例,北関東,2,,衆議院,191.jpg,
後藤 茂之,,ごとう しげゆき,自民,長野,4,5,,衆議院,183.jpg,
後藤 祐一,,ごとう ゆういち,民主,神奈川,16,3,,衆議院,184.jpg,
後藤田 正純,,ごとうだ まさずみ,自民,徳島,1,6,,衆議院,185.jpg,
小林 鷹之,,こばやし たかゆき,自民,千葉,2,2,,衆議院,177.jpg,
小林 史明,,こばやし ふみあき,自民,広島,7,2,,衆議院,178.jpg,
小松 裕,,こまつ ゆたか,自民,比例,北陸信越,2,,衆議院,179.jpg,
小宮山 泰子,,こみやま やすこ,民主,比例,北関東,5,,衆議院,180.jpg,
小山 展弘,,こやま のぶひろ,民主,比例,東海,2,,衆議院,181.jpg,
近藤 昭一,,こんどう しょういち,民主,愛知,3,7,,衆議院,193.jpg,
近藤 洋介,,こんどう ようすけ,民主,比例,東北,5,,衆議院,194.jpg,
今野 智博,,こんの ともひろ,自民,比例,北関東,2,,衆議院,192.jpg,
斉藤 和子,,さいとう かずこ,共産,比例,南関東,1,,衆議院,203.jpg,
齋藤 健,,さいとう けん,自民,千葉,7,3,,衆議院,205.jpg,
斉藤 鉄夫,,さいとう てつお,公明,比例,中国,8,,衆議院,204.jpg,
斎藤 洋明,,さいとう ひろあき,自民,比例,北陸信越,2,,衆議院,206.jpg,
坂井 学,,さかい まなぶ,自民,神奈川,5,3,,衆議院,207.jpg,
坂本 哲志,,さかもと てつし,自民,熊本,3,5,,衆議院,208.jpg,
坂本 祐之輔,,さかもと ゆうのすけ,維新,比例,北関東,2,,衆議院,209.jpg,
櫻田 義孝,,さくらだ よしたか,自民,千葉,8,6,,衆議院,210.jpg,
笹川 博義,,ささがわ ひろよし,自民,群馬,3,2,,衆議院,211.jpg,
佐々木 隆博,,ささき たかひろ,民主,北海道,6,3,,衆議院,196.jpg,
佐々木 紀,,ささき はじめ,自民,石川,2,2,,衆議院,197.jpg,
